Experiment 3 â€” Draw Length vs Landing Displacement  Â·  Summary,,,,,,,,,,,,
11 raw-data sheets  Â·  Î¸ = 60Â°  Â·  x_ideal = 2486 mm  Â·  Compiled May 2026,,,,,,,,,,,,
,,,,,,,,,,,,
SECTION 1 â€” Per-Run Statistical Summary,,,,,,,,,,,,
Sheet / Run,L (mm),n,xÌ„ (mm),Ïƒx (mm),95% CI x (mm),È³ (mm),Ïƒy (mm),rÌ„ (mm),Ïƒr (mm),mean Î¸ (deg),ÏƒÎ¸ (deg),Notes
L=105mm,105,15,1548.1,15.67,"[1539.4, 1556.7]",-7.2,12.55,1548.1,15.72,-0.27,0.46,
L=110mm,110,15,1562.1,38.34,"[1540.8, 1583.3]",9.6,11.15,1562.1,38.35,0.35,0.41,âš  High Ïƒx (38 mm) â€” excluded from pooled analysis
L=110mm (1),110,15,1657.7,17.58,"[1647.9, 1667.4]",-14,7.12,1657.7,17.54,-0.49,0.25,
L=115mm,115,15,1744.9,26.58,"[1730.1, 1759.6]",8.1,13.29,1744.9,26.56,0.27,0.44,
L=115mm (1),115,20,1812.9,25.26,"[1800.8, 1825.0]",-3,10.48,1812.9,25.26,-0.1,0.33,"âš  Header says L=105mm (copy-paste error, tab name used)"
L=120mm,120,15,1918.2,28.04,"[1902.7, 1933.7]",5.5,11.19,1918.2,28.04,0.17,0.34,
L=120mm (1),120,25,1964,28.52,"[1951.8, 1976.3]",4.2,11.77,1964.1,28.52,0.12,0.34,
L=125mm,125,15,2031.1,36.44,"[2011.0, 2051.3]",-20.9,13.14,2031.1,36.44,-0.59,0.37,"âš  Header says L=120mm (copy-paste error, tab name used)"
L=125mm (1),125,20,2094.3,24.22,"[2082.7, 2105.9]",-2.5,19.15,2094.4,24.24,-0.07,0.52,
L=130mm,130,15,2191.5,42.27,"[2168.1, 2214.9]",-17.2,16.77,2191.5,42.27,-0.45,0.44,"âš  Header says L=120mm (copy-paste error, tab name used)"
L=130mm (1),130,15,2208,28.09,"[2192.4, 2223.6]",-22.8,15.58,2208.0,28.09,-0.59,0.41,
,,,,,,,,,,,,
SECTION 2 â€” Pooled Statistics per Draw Length  (used for regression),,,,,,,,,,,,
L (mm),n total,xÌ„ pooled (mm),Ïƒx pooled (mm),È³ pooled (mm),Ïƒy pooled (mm),SE_x (mm),95% CI x low,95% CI x high,rÌ„ pooled (mm),mean Î¸ pooled (deg),Notes,
105,15,1548.07,15.67,-7.2,12.55,4.047,1539.4,1556.7,1548.1,-0.27,Single run only,
110,15,1657.67,17.58,-14,7.12,4.538,1647.9,1667.4,1657.7,-0.49,Run 1 excluded (Ïƒx = 38 mm vs 18 mm in run 2),
115,35,1783.74,42.59,1.74,12.84,7.2,1768.3,1799.2,1783.8,0.06,,
120,40,1946.85,35.89,4.7,11.42,5.675,1934.7,1959,1946.9,0.14,,
125,35,2067.23,43.36,-10.37,19,7.33,2051.5,2082.9,2067.3,-0.29,Run 1 header mislabeled â€” tab name trusted,
130,30,2199.73,36.25,-20,16.15,6.618,2185.5,2213.9,2199.7,-0.52,Run 1 header mislabeled â€” tab name trusted,
,,,,,,,,,,,,
SECTION 3 â€” Regression: L â†’ xÌ„  (Linear & Polynomial deg 2),,,,,,,,,,,,
Model,a (LÂ² coeff),b (L coeff),c (constant),RÂ²,,,,,,,,
Linear (deg 1),â€”,26.5721,-1255.01,0.997611,,,,,,,,
Polynomial (deg 2),0.065524,11.1741,-355.15,0.997935,,,,,,,,
,,,,,,,,,,,,
L (mm),xÌ„ measured,Linear fit,Resid (lin),Poly2 fit,Resid (poly2),,,,,,,
105,1548.07,1535.06,13.01,1540.52,7.55,,,,,,,
110,1657.67,1667.92,-10.25,1666.83,-9.16,,,,,,,
115,1783.74,1800.78,-17.04,1796.42,-12.68,,,,,,,
120,1946.85,1933.65,13.2,1929.28,17.57,,,,,,,
125,2067.23,2066.51,0.72,2065.41,1.82,,,,,,,
130,2199.73,2199.37,0.36,2204.83,-5.1,,,,,,,
,,,,,,,,,,,,
SECTION 4 â€” Data Quality Notes,,,,,,,,,,,,
L=110mm Run 1,Ïƒx = 38.3 mm vs 17.6 mm (Run 2). Mean x differs by ~96 mm. Excluded from pooled analysis.,,,,,,,,,,,
L=115mm (1),Sheet header says 'L=105mm' â€” copy-paste error. Tab name 'L=115mm (1)' is correct.,,,,,,,,,,,
L=125mm,Sheet header says 'L=120mm' â€” copy-paste error. Tab name 'L=125mm' is correct.,,,,,,,,,,,
L=130mm,Sheet header says 'L=120mm' â€” copy-paste error. Tab name 'L=130mm' is correct.,,,,,,,,,,,
Summary (original),Contains #REF! errors â€” cross-sheet refs broken. This sheet replaces it.,,,,,,,,,,,
Pooled xÌ„,Weighted mean: xÌ„_pool = (nâ‚Â·xÌ„â‚ + nâ‚‚Â·xÌ„â‚‚)/(nâ‚+nâ‚‚). Equivalent to pooling all raw shots.,,,,,,,,,,,
