file,target_time_s,knob1_position,knob2_position,switch,n_readings,mean_s,std_s,min_s,max_s,median_s
ne555_readings_0.1 sec.csv,0.1,1,0,0,10,0.130232,0.01349,0.105032,0.149776,0.132114
ne555_readings_0.2 sec.csv,0.2,2,0,0,11,0.248024,0.059247,0.075076,0.276492,0.275196
ne555_readings_0.3 sec.csv,0.3,3,0,0,10,0.39393,0.00341,0.386,0.39714,0.395254
ne555_readings_0.4 sec.csv,0.4,4,0,0,10,0.499031,0.000559,0.497568,0.4997,0.499118
ne555_readings_0.5 sec.csv,0.5,5,0,0,10,0.63226,0.000374,0.63174,0.633188,0.632236
ne555_readings_0.6 sec.csv,0.6,6,0,0,10,0.720772,0.001521,0.716216,0.721388,0.721276
ne555_readings_0.7 sec.csv,0.7,7,0,0,10,0.830255,0.00149,0.825796,0.830972,0.830756
ne555_readings_0.8 sec.csv,0.8,8,0,0,10,0.904711,0.001637,0.899852,0.905624,0.90517
ne555_readings_0.9 sec.csv,0.9,9,0,0,10,1.026176,0.001589,1.021424,1.026932,1.02666
ne555_readings_1.0 sec.csv,1.0,0,1,0,10,1.144562,0.042992,1.015728,1.160496,1.159768
ne555_readings_1.1 sec.csv,1.1,1,1,0,10,1.261923,0.001627,1.257068,1.262624,1.262484
ne555_readings_1.2 sec.csv,1.2,2,1,0,10,1.356552,0.00156,1.351912,1.357472,1.356962
ne555_readings_1.3 sec.csv,1.3,3,1,0,10,1.435057,0.041235,1.311468,1.450092,1.44949
ne555_readings_1.4 sec.csv,1.4,4,1,0,10,1.545022,9.7e-05,1.544876,1.545132,1.545036
ne555_readings_1.5 sec.csv,1.5,5,1,0,10,1.653147,0.043959,1.521396,1.668916,1.668848
ne555_readings_1.6 sec.csv,1.6,6,1,0,10,1.738831,0.044006,1.606884,1.754076,1.754036
ne555_readings_1.7 sec.csv,1.7,7,1,0,10,1.742985,0.297633,0.859672,1.859752,1.854966
ne555_readings_1.8 sec.csv,1.8,8,1,0,10,1.931284,0.001467,1.926884,1.931832,1.931762
ne555_readings_1.9 sec.csv,1.9,9,1,0,10,2.035054,0.044382,1.902032,2.050976,2.050878
ne555_readings_2.0 sec.csv,2.0,0,2,0,10,2.122039,0.001382,2.1179,2.122668,2.122464
ne555_readings_2.1 sec.csv,2.1,1,2,0,10,2.205387,0.045872,2.069584,2.224436,2.224284
ne555_readings_2.2 sec.csv,2.2,2,2,0,10,2.304824,0.038837,2.18848,2.319036,2.318876
ne555_readings_2.3 sec.csv,2.3,3,2,0,10,2.395221,0.044496,2.26186,2.411168,2.411106
ne555_readings_2.4 sec.csv,2.4,4,2,0,10,2.500048,0.015116,2.455132,2.506308,2.506188
ne555_readings_2.5 sec.csv,2.5,5,2,0,10,2.629257,0.001458,2.624896,2.629856,2.629756
ne555_readings_2.6 sec.csv,2.6,6,2,0,10,2.69904,0.046435,2.559812,2.715228,2.715116
ne555_readings_2.7 sec.csv,2.7,7,2,0,10,2.819887,0.001409,2.815668,2.82054,2.820354
ne555_readings_2.8 sec.csv,2.8,8,2,0,10,2.892429,0.001505,2.887952,2.89346,2.892894
ne555_readings_2.9 sec.csv,2.9,9,2,0,11,3.010342,0.001377,3.005996,3.01088,3.010792
ne555_readings_3.0 sec.csv,3.0,0,3,0,10,3.102415,0.001406,3.098284,3.103344,3.102846
ne555_readings_3.1 sec.csv,3.1,1,3,0,10,3.1903,0.044629,3.056552,3.206568,3.206184
ne555_readings_3.2 sec.csv,3.2,2,3,0,10,3.300718,0.001431,3.296444,3.301484,3.301156
ne555_readings_3.3 sec.csv,3.3,3,3,0,10,3.377628,0.044616,3.243908,3.393704,3.393526
ne555_readings_3.4 sec.csv,3.4,4,3,0,10,3.48807,0.001373,3.48396,3.488692,3.488502
